food_item,category,glycemic_index,glycemic_load,carbs_per_serving,serving_size_g,reference
# GRAINS & CEREALS
White bread,bread,75,10,14,30,glucose_reference
Whole wheat bread,bread,74,9,12,30,glucose_reference
Sourdough bread,bread,54,8,15,30,glucose_reference
Bagel,bread,72,25,35,70,glucose_reference
White rice_cooked,rice,73,29,40,150,glucose_reference
Brown rice_cooked,rice,68,16,23,150,glucose_reference
Basmati rice_cooked,rice,58,22,38,150,glucose_reference
Instant oatmeal,cereal,79,21,26,250,glucose_reference
Steel cut oats,cereal,55,13,24,250,glucose_reference
Cornflakes,cereal,81,21,26,30,glucose_reference
All-Bran,cereal,42,8,19,30,glucose_reference
# SUGARS
Glucose,sugar,100,10,10,10,glucose_reference
Sucrose,sugar,65,7,10,10,glucose_reference
Fructose,sugar,19,2,10,10,glucose_reference
Honey,sugar,61,10,17,25,glucose_reference
# FRUITS
Apple,fruit,36,6,15,120,glucose_reference
Banana,fruit,51,13,25,120,glucose_reference
Orange,fruit,43,5,11,120,glucose_reference
Grapes,fruit,46,8,18,120,glucose_reference
Watermelon,fruit,76,4,6,120,glucose_reference
Strawberries,fruit,40,1,3,120,glucose_reference
Mango,fruit,51,8,15,120,glucose_reference
Pineapple,fruit,59,7,12,120,glucose_reference
Dates_dried,fruit,42,18,43,60,glucose_reference
# LEGUMES
Chickpeas_cooked,legume,28,8,30,150,glucose_reference
Lentils_cooked,legume,32,5,16,150,glucose_reference
Kidney beans_cooked,legume,24,6,25,150,glucose_reference
Soy beans_cooked,legume,16,1,6,150,glucose_reference
Black beans_cooked,legume,30,7,23,150,glucose_reference
# VEGETABLES
Carrots_cooked,vegetable,39,2,5,80,glucose_reference
Potato_boiled,vegetable,78,14,18,150,glucose_reference
Sweet potato_boiled,vegetable,63,17,27,150,glucose_reference
Corn_sweet,vegetable,52,15,29,150,glucose_reference
Peas_green,vegetable,48,3,7,80,glucose_reference
# DAIRY
Milk_full fat,dairy,39,5,12,250,glucose_reference
Milk_skim,dairy,37,4,12,250,glucose_reference
Yogurt_plain,dairy,41,5,12,200,glucose_reference
Ice cream,dairy,51,8,16,50,glucose_reference
# PASTA
Spaghetti_white,pasta,49,24,48,180,glucose_reference
Spaghetti_whole wheat,pasta,48,23,48,180,glucose_reference
Fettuccine,pasta,40,18,46,180,glucose_reference
Macaroni,pasta,47,23,49,180,glucose_reference
Rice noodles,pasta,53,23,44,180,glucose_reference
# SNACKS
Potato chips,snack,56,12,21,50,glucose_reference
Pretzels,snack,83,16,20,30,glucose_reference
Popcorn,snack,65,8,13,20,glucose_reference
Rice cakes,snack,82,17,21,25,glucose_reference
Chocolate bar,snack,40,12,30,50,glucose_reference
# BEVERAGES
Coca Cola,beverage,63,16,26,250,glucose_reference
Orange juice,beverage,50,13,26,250,glucose_reference
Apple juice,beverage,41,12,29,250,glucose_reference
Sports drink,beverage,78,12,15,250,glucose_reference
# SUPPLEMENT INGREDIENTS
Maltodextrin,supplement,105,21,20,20,glucose_reference
Dextrose,supplement,100,10,10,10,glucose_reference
Waxy maize starch,supplement,80,16,20,20,glucose_reference
Isomaltulose,supplement,32,6,20,20,glucose_reference
Cluster dextrin,supplement,75,15,20,20,glucose_reference
